,Don Antonio.,Don Iuan.,Esc.,Quiteria.,(unknown),Moron.,Violante.,Don Diego.,Leonardo.,Doña Maria.,Beatriz.,Don Carlos.
Don Antonio.,0,0,11,7,22,54,32,1009,34,0,0,585
Don Iuan.,0,96,20,284,6,17,348,0,772,1399,93,358
Esc.,11,20,0,0,0,292,67,161,47,19,49,53
Quiteria.,7,284,0,0,0,0,428,14,0,0,0,52
(unknown),22,6,0,0,0,32,10,256,0,0,82,0
Moron.,54,17,292,0,32,0,2,1982,103,201,781,39
Violante.,32,348,67,428,10,2,0,774,9,23,31,1096
Don Diego.,1009,0,161,14,256,1982,774,0,709,504,79,200
Leonardo.,34,772,47,0,0,103,9,709,0,163,85,10
Doña Maria.,0,1399,19,0,0,201,23,504,163,0,628,3
Beatriz.,0,93,49,0,82,781,31,79,85,628,0,0
Don Carlos.,585,358,53,52,0,39,1096,200,10,3,0,0
