,Vnos.,Alv.,El Demonio.,(unknown),Sol.,Otros.,El Deseo.,Cor.,1.,San Pedro.,El Samaritano.,La Gracia.,El Hombre.,La Noche.,La Lascivia.,la Culpa.,Un Levita.,Vn Sacerdote.,Dos Mugeres.,El Mundo.,Musicos.,El Luzero.,2.
Vnos.,0,0,0,0,26,4,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
Alv.,0,0,0,23,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0
El Demonio.,0,0,0,90,78,0,97,0,0,26,0,0,31,20,441,255,15,0,0,225,0,0,0
(unknown),0,23,90,74,65,26,39,0,0,60,0,23,437,39,135,444,80,111,346,106,0,34,0
Sol.,26,0,78,65,0,0,141,0,0,74,0,15,290,0,0,262,0,0,0,262,33,0,0
Otros.,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Deseo.,0,0,97,39,141,0,0,0,0,8,10,0,766,0,73,451,199,168,0,130,58,0,0
Cor.,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
San Pedro.,0,0,26,60,74,0,8,7,108,0,0,0,32,0,0,75,0,0,0,0,0,0,80
El Samaritano.,0,0,0,0,0,0,10,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0
La Gracia.,0,218,0,23,15,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,34,0,0
El Hombre.,39,0,31,437,290,0,766,0,0,32,238,255,36,0,1280,52,255,248,979,20,113,0,0
La Noche.,0,0,20,39,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
La Lascivia.,0,0,441,135,0,0,73,0,0,0,0,0,1280,0,0,529,0,28,0,115,31,0,0
la Culpa.,0,0,255,444,262,0,451,0,0,75,0,0,52,16,529,0,19,0,0,1275,30,108,0
Un Levita.,0,0,15,80,0,0,199,0,0,0,0,0,255,0,0,19,0,0,0,0,0,0,0
Vn Sacerdote.,0,0,0,111,0,0,168,0,0,0,0,0,248,0,28,0,0,0,0,0,3,0,0
Dos Mugeres.,0,0,0,346,0,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,0,0,0
El Mundo.,0,0,225,106,262,0,130,0,0,0,0,0,20,0,115,1275,0,0,0,0,3,0,0
Musicos.,0,0,0,0,33,0,58,0,0,0,0,34,113,0,31,30,0,3,0,3,0,56,0
El Luzero.,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,56,0,0
2.,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
