,Aurora.,Licanoro.,Celto.,Voz.,Coro.,(unknown),Clariana.,Vnos.,Milor.,Estela.,Lisidante.,Vn Sargento.,Auristela.,Cintia.,"Soldados, y Musicos.",Brunel.,"Timantes, viejo.",Arsidas.,Flerida.,Merlin.
Aurora.,0,364,110,9,0,158,962,0,59,7,1307,0,162,352,31,58,213,185,451,21
Licanoro.,364,0,34,0,0,87,23,138,318,8,785,0,33,0,0,0,21,0,0,38
Celto.,110,34,0,0,0,0,0,14,18,0,3,0,0,0,0,0,9,54,0,4
Voz.,9,0,0,154,54,14,0,0,0,0,11,0,0,0,54,0,0,8,0,0
Coro.,0,0,0,54,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(unknown),158,87,0,14,2,602,83,39,376,0,247,0,54,2,11,14,357,76,19,19
Clariana.,962,23,0,0,0,83,0,0,187,725,199,0,597,132,23,60,404,839,17,2
Vnos.,0,138,14,0,0,39,0,0,22,0,28,0,0,0,2,0,0,0,0,14
Milor.,59,318,18,0,0,376,187,22,0,0,220,0,81,5,0,183,2,420,0,0
Estela.,7,8,0,0,0,0,725,0,0,0,54,0,13,0,0,0,3,0,4,0
Lisidante.,1307,785,3,11,0,247,199,28,220,54,72,21,597,6,81,181,283,2728,89,1674
Vn Sargento.,0,0,0,0,0,0,0,0,0,0,21,0,0,0,12,0,0,0,0,0
Auristela.,162,33,0,0,0,54,597,0,81,13,597,0,0,68,0,0,6,42,16,35
Cintia.,352,0,0,0,0,2,132,0,5,0,6,0,68,0,7,80,105,48,0,0
"Soldados, y Musicos.",31,0,0,54,0,11,23,2,0,0,81,12,0,7,70,26,0,168,0,136
Brunel.,58,0,0,0,0,14,60,0,183,0,181,0,0,80,26,0,19,1286,0,312
"Timantes, viejo.",213,21,9,0,0,357,404,0,2,3,283,0,6,105,0,19,0,583,34,33
Arsidas.,185,0,54,8,0,76,839,0,420,0,2728,0,42,48,168,1286,583,0,2,278
Flerida.,451,0,0,0,0,19,17,0,0,4,89,0,16,0,0,0,34,2,0,0
Merlin.,21,38,4,0,0,19,2,14,0,0,1674,0,35,0,136,312,33,278,0,0
