,Dos Angeles.,Tucapel.,Iupangui.,Tur.,Almagro.,"Don Geronimo Marañon, Gouernador.",4.,Voz.,(unknown),Vn Dorador.,1.,"Acompañamiento, y Musica.",Guat.,Glau.,La Idolatria.,Gou.,Vn Sacerdote.,3.,Piçarro.,"Don Lorenço de Mendoça, Conde de Coruña.",Va.,Candia.,"Guascar, Inga Rey.",Vnos Indios.,Glanca.,Vn Indio llamado Andrès.,Quatro damas.,2.
Dos Angeles.,46,0,42,0,0,0,0,0,43,0,0,167,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Tucapel.,0,0,662,0,0,0,0,27,500,0,0,9,0,574,308,0,0,8,61,0,0,343,280,93,0,0,0,0
Iupangui.,42,662,0,24,0,623,0,0,2015,210,0,99,9,269,586,0,171,33,0,250,0,455,2059,45,0,388,0,34
Tur.,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almagro.,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,317,0,0,95,0,0,0,0,0,0
"Don Geronimo Marañon, Gouernador.",0,0,623,0,0,0,0,0,75,0,0,17,0,0,122,0,0,0,0,1734,0,0,0,16,0,237,0,0
4.,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0
Voz.,0,27,0,0,0,0,0,34,0,0,0,36,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0
(unknown),43,500,2015,0,19,75,3,0,1096,0,2,120,9,49,1663,2,328,0,152,112,2,0,1500,140,0,58,0,3
Vn Dorador.,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acompañamiento, y Musica.",167,9,99,0,0,17,0,36,120,0,0,0,0,0,0,0,0,0,35,0,0,0,16,0,0,0,0,0
Guat.,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glau.,0,574,269,0,0,0,0,0,49,0,0,0,0,0,270,0,22,0,0,0,0,0,443,0,0,0,0,0
La Idolatria.,60,308,586,0,0,122,12,0,1663,0,0,0,0,270,0,0,19,2,8,0,0,56,22,0,0,160,17,16
Gou.,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
Vn Sacerdote.,0,0,171,0,0,0,0,0,328,0,0,0,0,22,19,0,0,0,0,0,17,0,41,0,0,0,0,0
3.,0,8,33,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17
Piçarro.,0,61,0,0,317,0,0,20,152,0,0,35,0,0,8,0,0,0,0,0,0,302,0,0,0,0,0,0
"Don Lorenço de Mendoça, Conde de Coruña.",0,0,250,0,0,1734,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
Va.,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
Candia.,0,343,455,0,95,0,0,3,0,0,0,0,0,0,56,0,0,0,302,0,0,0,0,0,0,0,0,0
"Guascar, Inga Rey.",0,280,2059,0,0,0,0,0,1500,0,0,16,0,443,22,0,41,0,0,0,0,0,0,7,15,12,0,0
Vnos Indios.,0,93,45,0,0,16,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Glanca.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
Vn Indio llamado Andrès.,0,0,388,0,0,237,0,0,58,0,0,0,0,0,160,86,0,0,0,129,0,0,12,0,0,0,0,0
Quatro damas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2.,0,0,34,0,0,0,0,0,3,0,0,0,0,0,16,0,0,17,0,0,0,0,0,0,0,0,0,0
