,"Roberto, Viejo.","Flora, Dama.",Vno.,"Celio, vejete.",(unknown),"Federico, Conde de Mompeller.",Estela.,Cesar.,"Capricho, Gracioso.",Carlos.,"Serafina, Dama.",Musicos.,Nise.,"Fabio, criado.",Lib.,"Enrique, Duque de Bearne.","Margarita, Dama."
"Roberto, Viejo.",0,0,8,0,0,60,0,55,52,15,400,0,0,0,0,301,0
"Flora, Dama.",0,0,0,0,9,0,0,979,356,38,0,0,0,9,0,2,1864
Vno.,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celio, vejete.",0,0,0,52,38,0,0,266,11,9,0,0,0,0,0,0,0
(unknown),0,9,0,38,178,17,6,99,125,0,205,15,0,11,0,0,0
"Federico, Conde de Mompeller.",60,0,0,0,17,0,6,179,273,0,95,0,0,118,84,507,86
Estela.,0,0,0,0,6,6,0,32,33,0,346,0,0,5,0,0,4
Cesar.,55,979,0,266,99,179,32,10,2495,1177,1292,79,168,0,0,836,567
"Capricho, Gracioso.",52,356,0,11,125,273,33,2495,30,106,309,0,91,27,0,249,692
Carlos.,15,38,0,9,0,0,0,1177,106,0,0,0,0,16,0,777,38
"Serafina, Dama.",400,0,0,0,205,95,346,1292,309,0,14,63,94,35,0,7,460
Musicos.,0,0,0,0,15,0,0,79,0,0,63,0,0,0,0,10,36
Nise.,0,0,0,0,0,0,0,168,91,0,94,0,0,0,0,0,0
"Fabio, criado.",0,9,0,0,11,118,5,0,27,16,35,0,0,0,0,0,0
Lib.,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
"Enrique, Duque de Bearne.",301,2,0,0,0,507,0,836,249,777,7,10,0,0,0,0,318
"Margarita, Dama.",0,1864,0,0,0,86,4,567,692,38,460,36,0,0,0,318,0
