,"Inès, criada.","Don Diego de Silva, galan.",Don Bernardo viejo.,Vno.,"Espinel, criado.",(unknown),"Doña Maria, Dama.","Guzmàn, criado.","Don Juan de Lara, galàn.","Juana, criada.","Don Luis, galàn.","Doña Ana, Dama."
"Inès, criada.",0,227,17,0,0,226,33,0,12,0,81,1126
"Don Diego de Silva, galan.",227,162,43,0,444,0,91,0,629,13,68,3107
Don Bernardo viejo.,17,43,0,0,467,212,0,0,719,196,179,260
Vno.,0,0,0,0,0,0,0,0,5,0,33,0
"Espinel, criado.",0,444,467,0,0,13,98,51,917,73,523,78
(unknown),226,0,212,0,13,0,0,0,25,0,0,146
"Doña Maria, Dama.",33,91,0,0,98,0,0,0,320,9,419,1912
"Guzmàn, criado.",0,0,0,0,51,0,0,0,0,0,354,0
"Don Juan de Lara, galàn.",12,629,719,5,917,25,320,0,0,210,241,640
"Juana, criada.",0,13,196,0,73,0,9,0,210,0,0,55
"Don Luis, galàn.",81,68,179,33,523,0,419,354,241,0,0,139
"Doña Ana, Dama.",1126,3107,260,0,78,146,1912,0,640,55,139,0
