,Aquitofel.,Semey.,Absalon.,Ensay.,(unknown),Mus.,Teuia.,Vnos.,El Rey Dauid.,Amon.,Ioab.,Pastores.,Adonias.,Salomon.,Eliazar.,Ionadab.,Tamar.
Aquitofel.,0,32,849,163,0,0,105,0,217,0,21,0,4,151,0,84,85
Semey.,32,0,0,14,0,0,6,0,293,0,389,0,17,17,0,83,0
Absalon.,849,0,10,639,243,21,149,0,1394,129,143,28,501,332,0,146,329
Ensay.,163,14,639,0,45,0,4,0,353,0,135,0,24,0,0,4,0
(unknown),0,0,243,45,40,0,0,4,46,141,49,0,0,0,0,6,43
Mus.,0,0,21,0,0,0,0,0,0,2,0,0,0,0,0,40,1
Teuia.,105,6,149,4,0,0,0,0,499,209,8,43,36,55,0,206,407
Vnos.,0,0,0,0,4,0,0,0,28,0,0,0,0,0,0,2,0
El Rey Dauid.,217,293,1394,353,46,0,499,28,0,505,869,28,647,423,0,90,533
Amon.,0,0,129,0,141,2,209,0,505,0,15,9,22,56,27,790,2104
Ioab.,21,389,143,135,49,0,8,0,869,15,0,0,19,93,0,38,24
Pastores.,0,0,28,0,0,0,43,0,28,9,0,0,0,0,0,0,378
Adonias.,4,17,501,24,0,0,36,0,647,22,19,0,0,76,0,18,0
Salomon.,151,17,332,0,0,0,55,0,423,56,93,0,76,0,0,0,7
Eliazar.,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
Ionadab.,84,83,146,4,6,40,206,2,90,790,38,0,18,0,0,0,348
Tamar.,85,0,329,0,43,1,407,0,533,2104,24,378,0,7,0,348,0
