,Simon.,Don Enrique.,Don Felix.,(unknown),Violante.,Juana.,Inès.,Don Diego.,Hernando.,Don Carlos.,Leonor.,Don Luis.
Simon.,0,51,153,63,2,92,0,0,195,0,5,0
Don Enrique.,51,14,1869,30,33,562,17,69,102,1054,157,62
Don Felix.,153,1869,82,277,441,50,40,249,1660,1001,1442,80
(unknown),63,30,277,146,174,76,2,0,108,956,96,0
Violante.,2,33,441,174,88,5,81,47,36,925,1046,167
Juana.,92,562,50,76,5,0,32,10,582,0,123,0
Inès.,0,17,40,2,81,32,0,0,0,0,147,2
Don Diego.,0,69,249,0,47,10,0,0,50,9,440,145
Hernando.,195,102,1660,108,36,582,0,50,0,531,318,0
Don Carlos.,0,1054,1001,956,925,0,0,9,531,0,124,21
Leonor.,5,157,1442,96,1046,123,147,440,318,124,2,20
Don Luis.,0,62,80,0,167,0,2,145,0,21,20,0
