,Arnesto viejo.,Sigismundo.,(unknown),Soldados.,Vnos.,Turin.,Otros.,Lesbia.,Federìco.,Auristela.,Flora criada.,Christerna.,Tar.,3.,Roberto.,Casimiro.,2.,Nise criada.
Arnesto viejo.,0,95,55,0,0,9,0,0,172,321,0,238,0,0,0,64,0,0
Sigismundo.,95,0,32,34,0,150,0,399,631,676,0,1320,13,0,0,273,0,0
(unknown),55,32,16,110,0,41,0,0,143,82,0,383,4,0,7,277,2,0
Soldados.,0,34,110,52,0,5,0,10,3,201,0,278,0,3,0,37,0,0
Vnos.,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,110,0,0
Turin.,9,150,41,5,0,0,2,117,78,544,0,681,0,0,18,726,0,0
Otros.,0,0,0,0,9,2,0,0,0,0,0,2,0,0,0,2,0,0
Lesbia.,0,399,0,10,0,117,0,0,46,211,5,918,0,0,0,62,0,24
Federìco.,172,631,143,3,6,78,0,46,0,64,0,852,0,0,0,512,0,0
Auristela.,321,676,82,201,0,544,0,211,64,0,0,765,0,0,0,3161,0,0
Flora criada.,0,0,0,0,0,0,0,5,0,0,0,157,0,0,0,0,0,22
Christerna.,238,1320,383,278,0,681,2,918,852,765,157,10,13,0,0,2895,0,61
Tar.,0,13,4,0,0,0,0,0,0,0,0,13,0,0,0,45,0,0
3.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Roberto.,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,283,0,0
Casimiro.,64,273,277,37,110,726,2,62,512,3161,0,2895,45,0,283,78,0,0
2.,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nise criada.,0,0,0,0,0,0,0,24,0,0,22,61,0,0,0,0,0,0
