,El Demonio.,"Irene, hija del Rey.",El Rey Polemon.,"Liron, Villano.","Flora, Dama.",Vn Sacerdote de Astarot.,(unknown),San Bartolomè.,"Ceusis, Principe.","Lesbia, Villana.","Siluia, Dama.","Licanoro, Principe.","Criados, y Musicos."
El Demonio.,0,1585,143,67,0,303,29,1153,690,5,0,239,85
"Irene, hija del Rey.",1585,0,223,55,60,9,3,534,482,0,122,1149,59
El Rey Polemon.,143,223,94,198,0,237,4,1176,235,50,26,230,72
"Liron, Villano.",67,55,198,0,0,152,258,45,99,772,0,31,0
"Flora, Dama.",0,60,0,0,0,0,0,0,0,0,5,0,0
Vn Sacerdote de Astarot.,303,9,237,152,0,0,20,29,22,49,0,302,0
(unknown),29,3,4,258,0,20,0,15,167,5,0,214,154
San Bartolomè.,1153,534,1176,45,0,29,15,0,193,2,0,136,36
"Ceusis, Principe.",690,482,235,99,0,22,167,193,0,0,0,771,193
"Lesbia, Villana.",5,0,50,772,0,49,5,2,0,0,0,13,0
"Siluia, Dama.",0,122,26,0,5,0,0,0,0,0,0,0,0
"Licanoro, Principe.",239,1149,230,31,0,302,214,136,771,13,0,84,115
"Criados, y Musicos.",85,59,72,0,0,0,154,36,193,0,0,115,0
