,Doña Isabel de Segura.,Don Iuan Capitan.,Hipolito de Marsilla.,Drusila su criada.,Garceran su criado.,3,(unknown),Don Gonçalo Cauallero.,Vn Sargento.,Lain su lacayo.,1,Tamb.,2,El Infante don Luis de Portugal.,Don Pedro Capitan.,El Duque de Alua.,Rufino padre de doña Isabel.,"El Marques de Mondejar, que es Mendoça."
Doña Isabel de Segura.,0,184,10,1882,4,0,172,803,0,0,0,0,0,0,0,0,499,597
Don Iuan Capitan.,184,0,0,47,0,0,18,445,0,0,0,0,0,3,349,0,175,5
Hipolito de Marsilla.,10,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,40,0
Drusila su criada.,1882,47,0,0,0,0,0,180,0,68,0,0,0,0,0,0,224,10
Garceran su criado.,4,0,0,0,0,0,11,1065,0,5,0,51,0,131,0,74,11,991
3,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,41
(unknown),172,18,0,0,11,0,0,63,0,2,2,0,0,0,9,0,0,288
Don Gonçalo Cauallero.,803,445,0,180,1065,0,63,0,0,46,0,19,0,39,22,0,713,404
Vn Sargento.,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
Lain su lacayo.,0,0,262,68,5,0,2,46,36,0,6,0,6,0,63,0,282,2267
1,0,0,0,0,0,0,2,0,0,6,0,0,32,0,0,0,0,0
Tamb.,0,0,0,0,51,0,0,19,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,35,0,0,0,6,32,0,0,0,0,0,0,13
El Infante don Luis de Portugal.,0,3,0,0,131,0,0,39,0,0,0,0,0,0,0,24,0,17
Don Pedro Capitan.,0,349,0,0,0,0,9,22,0,63,0,0,0,0,0,0,0,91
El Duque de Alua.,0,0,0,0,74,0,0,0,0,0,0,0,0,24,0,0,0,31
Rufino padre de doña Isabel.,499,175,40,224,11,0,0,713,0,282,0,0,0,0,0,0,0,1038
"El Marques de Mondejar, que es Mendoça.",597,5,0,10,991,41,288,404,0,2267,0,0,13,17,91,31,1038,156
