,Doña Blanca.,Doña Sancha.,Pri.,Don Garcia.,Doña Eluira.,(unknown),Don Lope.,Don Tello.,Don Melendo.,Bermudo.,Don Sancho Rey.,Don Ordoño.
Doña Blanca.,122,932,27,0,1043,40,1841,0,29,334,124,495
Doña Sancha.,932,0,0,0,0,0,7,0,0,0,0,0
Pri.,27,0,0,0,0,0,0,0,0,0,0,0
Don Garcia.,0,0,0,0,0,0,0,0,10,0,0,0
Doña Eluira.,1043,0,0,0,0,0,2698,0,2,1572,32,1110
(unknown),40,0,0,0,0,0,3,0,0,0,0,0
Don Lope.,1841,7,0,0,2698,3,704,0,0,1706,0,1593
Don Tello.,0,0,0,0,0,0,0,0,876,25,0,295
Don Melendo.,29,0,0,10,2,0,0,876,0,0,0,574
Bermudo.,334,0,0,0,1572,0,1706,25,0,0,0,87
Don Sancho Rey.,124,0,0,0,32,0,0,0,0,0,0,170
Don Ordoño.,495,0,0,0,1110,0,1593,295,574,87,170,680
