,Don Martin.,Don Gonçalo.,(unknown),Vn Page.,Doña Geronima.,Don Rodrigo.,El Rei don Manuel.,Delgado.,Don Gaspar.,Quiteria criada.,Tello criado.,Don Iñigo.,Doña Estefania.
Don Martin.,0,107,0,0,24,46,0,0,0,0,0,0,17
Don Gonçalo.,107,0,0,0,18,0,0,0,1905,8,69,0,0
(unknown),0,0,0,0,0,0,0,0,49,0,59,0,0
Vn Page.,0,0,0,0,0,0,0,0,0,4,27,0,12
Doña Geronima.,24,18,0,0,2,928,53,0,2545,2651,831,318,2629
Don Rodrigo.,46,0,0,0,928,0,0,0,646,11,50,397,372
El Rei don Manuel.,0,0,0,0,53,0,0,0,0,0,69,0,0
Delgado.,0,0,0,0,0,0,0,0,27,0,127,0,0
Don Gaspar.,0,1905,49,0,2545,646,0,27,0,8,1359,226,227
Quiteria criada.,0,8,0,4,2651,11,0,0,8,6,220,23,0
Tello criado.,0,69,59,27,831,50,69,127,1359,220,28,262,141
Don Iñigo.,0,0,0,0,318,397,0,0,226,23,262,0,366
Doña Estefania.,17,0,0,12,2629,372,0,0,227,0,141,366,16
