,Iuan de Vlloa.,Almirante de Castilla.,Marques de Santillana.,6.,Antonio de Fonseca.,Vna Ventera.,Labradores.,Doña Maria Sarmiento.,Velasco soldado.,4.,(unknown),Pad.,Antona Garcia.,Don Albaro de Mendoza.,1.,Fernando Rei.,Carr.,7.,Vno,Don Basco.,Gila Pastora.,Bartolo Pastor.,Pero Alonso.,3.,Conde de Penamacor.,8.,Reina Catolica.,Iuan de Monroi.,5.,Otro.,Quatro Cavalleros.,2.
Iuan de Vlloa.,36,0,198,0,0,0,10,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Almirante de Castilla.,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,48,0,0,0,0,0,19,0,0,0,0,644,0,0,0,0,0
Marques de Santillana.,198,0,42,0,0,0,7,3,0,0,0,0,15,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,8,0
6.,0,0,0,0,0,0,0,0,0,7,0,0,12,0,6,0,0,52,0,0,0,0,0,9,0,0,0,0,24,0,0,22
Antonio de Fonseca.,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
Vna Ventera.,0,0,0,0,0,0,0,0,0,4,0,0,691,0,16,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,5
Labradores.,10,0,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doña Maria Sarmiento.,0,5,3,0,4,0,0,0,0,0,21,0,634,0,8,52,0,0,29,0,0,126,404,0,0,0,215,0,0,2,479,5
Velasco soldado.,0,0,0,0,0,0,0,0,0,0,0,70,279,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0
4.,0,0,0,7,0,4,0,0,0,0,0,0,47,0,32,0,0,61,0,0,0,0,0,23,0,2,0,0,12,0,0,9
(unknown),0,0,0,0,0,0,0,21,0,0,0,0,329,0,0,3,0,0,72,0,0,13,16,0,0,0,34,0,0,30,0,0
Pad.,0,0,0,0,0,0,0,0,70,0,0,0,79,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
Antona Garcia.,39,15,15,12,0,691,11,634,279,47,329,79,266,0,197,158,0,0,0,35,13,781,3576,10,22,0,1001,4,58,4,0,106
Don Albaro de Mendoza.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1.,0,0,0,6,0,16,0,8,0,32,0,0,197,0,0,0,0,128,0,0,0,72,56,31,0,96,0,0,31,0,0,55
Fernando Rei.,0,48,0,0,3,0,0,52,0,0,3,0,158,0,0,0,0,0,0,0,0,424,0,0,0,0,175,0,0,0,0,0
Carr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0
7.,0,0,0,52,0,0,0,0,0,61,0,0,0,0,128,0,0,0,0,0,0,0,0,48,0,13,0,0,104,0,0,38
Vno,0,0,0,0,0,0,0,29,0,0,72,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0
Don Basco.,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0
Gila Pastora.,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bartolo Pastor.,0,19,17,0,21,0,0,126,0,0,13,0,781,12,72,424,329,0,0,0,0,0,35,0,0,0,498,0,0,0,0,2
Pero Alonso.,0,0,10,0,0,8,0,404,237,0,16,61,3576,0,56,0,0,0,6,434,0,35,262,12,19,0,0,0,0,3,0,18
3.,0,0,0,9,0,16,0,0,0,23,0,0,10,0,31,0,0,48,0,0,0,0,12,0,0,41,0,0,29,0,0,81
Conde de Penamacor.,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
8.,0,0,0,0,0,0,0,0,0,2,0,0,0,0,96,0,0,13,0,0,0,0,0,41,0,0,0,0,20,0,0,19
Reina Catolica.,0,644,0,0,0,0,0,215,0,0,34,0,1001,0,0,175,0,0,0,0,0,498,0,0,0,0,308,69,0,0,0,0
Iuan de Monroi.,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0
5.,0,0,0,24,0,0,0,0,0,12,0,0,58,0,31,0,0,104,0,0,0,0,0,29,0,20,0,0,0,0,0,53
Otro.,0,0,0,0,0,0,0,2,0,0,30,0,4,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0
Quatro Cavalleros.,8,0,8,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.,0,0,0,22,0,5,0,5,0,9,0,0,106,0,55,0,0,38,0,0,0,2,18,81,0,19,0,0,53,0,0,0
