,El Rey niño.,Ines.,Sancha Dama.,Tabaco lacayo.,Doña Filipa Infanta.,Al.,(unknown),Vn page.,Acuña Cauallero.,Don Egas Cauallero.,Don Dionis Cauallero.,Ramiro.,El Infante don Pedro.,Don Duarte Cauallero.,Cabello Pastor.,Don Nuño Cauallero.
El Rey niño.,22,0,106,0,63,133,19,0,38,25,69,311,679,31,39,0
Ines.,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0
Sancha Dama.,106,15,0,323,949,286,0,13,0,0,555,2442,300,259,1035,0
Tabaco lacayo.,0,0,323,0,7,151,0,0,0,0,168,52,211,173,346,38
Doña Filipa Infanta.,63,7,949,7,0,128,0,0,0,0,576,1830,317,47,0,0
Al.,133,0,286,151,128,14,0,0,0,0,0,34,1275,0,46,159
(unknown),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vn page.,0,0,13,0,0,0,0,0,0,0,51,9,18,0,0,0
Acuña Cauallero.,38,0,0,0,0,0,0,0,0,27,166,0,24,0,0,0
Don Egas Cauallero.,25,0,0,0,0,0,0,0,27,0,272,0,26,52,0,0
Don Dionis Cauallero.,69,0,555,168,576,0,0,51,166,272,16,1693,198,572,5,0
Ramiro.,311,0,2442,52,1830,34,0,9,0,0,1693,0,91,62,70,0
El Infante don Pedro.,679,0,300,211,317,1275,0,18,24,26,198,91,4,34,5,0
Don Duarte Cauallero.,31,0,259,173,47,0,0,0,0,52,572,62,34,12,3,0
Cabello Pastor.,39,0,1035,346,0,46,0,0,0,0,5,70,5,3,0,0
Don Nuño Cauallero.,0,0,0,38,0,159,0,0,0,0,0,0,0,0,0,0
