,Casi.,Diana Condesa.,Cosimiro Conde.,Leonelo Cavallero.,Liberio viejo.,Pinabel cavallero.,Cla.,Lucrecia criada.,Chinchilla lacayo.,Roberto.,Clavela dama.,Floro cavallero.,Don Rodrigo Giron.
Casi.,48,35,321,0,0,68,0,0,388,0,530,836,270
Diana Condesa.,35,0,688,0,24,12,0,0,829,0,85,0,0
Cosimiro Conde.,321,688,108,27,215,573,7,0,208,0,1342,7,2648
Leonelo Cavallero.,0,0,27,0,0,106,0,0,0,0,0,0,0
Liberio viejo.,0,24,215,0,0,64,3,11,428,5,21,0,148
Pinabel cavallero.,68,12,573,106,64,0,0,0,281,0,6,0,1199
Cla.,0,0,7,0,3,0,0,0,0,0,0,0,0
Lucrecia criada.,0,0,0,0,11,0,0,0,565,0,0,0,10
Chinchilla lacayo.,388,829,208,0,428,281,0,565,10,88,280,38,2314
Roberto.,0,0,0,0,5,0,0,0,88,0,0,0,0
Clavela dama.,530,85,1342,0,21,6,0,0,280,0,0,0,754
Floro cavallero.,836,0,7,0,0,0,0,0,38,0,0,0,226
Don Rodrigo Giron.,270,0,2648,0,148,1199,0,10,2314,0,754,226,0
