,Otro,Vir.,And,Lir.,(unknown),Roberto vandolero.,Niso Pastor viejo.,Gallardo.,"Marbelio, y Lirano, vandoleros.",Laurencia Pastora.,Corbato Pastor.,Don Gaston Cauallero.,Pri,Ardenio Pastor.,Doña Petronila.,Don Guillen Comendador de Santiago.,Montano Pastor,Maroto Pastor.
Otro,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Vir.,0,0,0,0,0,0,0,0,1064,0,0,179,0,0,0,0,0,6
And,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
Lir.,1,0,0,0,0,0,0,0,93,28,0,0,0,0,0,0,0,0
(unknown),6,0,0,0,0,3,13,0,11,2,40,1,0,8,4,3,0,0
Roberto vandolero.,0,0,0,0,3,0,0,261,27,423,0,123,0,0,29,0,0,0
Niso Pastor viejo.,0,0,14,0,13,0,0,84,1428,127,188,174,0,194,0,94,52,1
Gallardo.,0,0,0,0,0,261,84,0,210,503,30,179,0,11,44,883,37,0
"Marbelio, y Lirano, vandoleros.",0,1064,0,93,11,27,1428,210,196,653,245,1367,0,160,70,669,188,0
Laurencia Pastora.,0,0,0,28,2,423,127,503,653,0,541,208,33,44,33,1296,0,0
Corbato Pastor.,0,0,0,0,40,0,188,30,245,541,0,96,0,162,80,9,195,9
Don Gaston Cauallero.,0,179,0,0,1,123,174,179,1367,208,96,64,0,6,819,982,0,208
Pri,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,10,0,0
Ardenio Pastor.,0,0,0,0,8,0,194,11,160,44,162,6,0,0,0,16,104,0
Doña Petronila.,0,0,0,0,4,29,0,44,70,33,80,819,0,0,0,596,22,173
Don Guillen Comendador de Santiago.,0,0,0,0,3,0,94,883,669,1296,9,982,10,16,596,0,0,3
Montano Pastor,0,0,0,0,0,0,52,37,188,0,195,0,0,104,22,0,0,0
Maroto Pastor.,0,6,0,0,0,0,1,0,0,0,9,208,0,0,173,3,0,0
