,Doña Ynes.,Don Martin.,Don Antonio.,Gil.,Vn Alguazil.,Caramanchel.,(unknown),Quintana.,Ossorio.,Don Pedro.,Celio.,Fab.,Don Diego.,Dec.,Mon Martin.,Valdiviesso escudero.,Doña Clara.,Doña Iuana.,Vn criado.
Doña Ynes.,56,197,0,5,0,646,193,16,3,1103,0,0,0,0,0,0,207,3118,25
Don Martin.,197,18,54,0,87,74,0,1321,731,792,2,30,163,12,0,0,0,784,0
Don Antonio.,0,54,0,0,0,0,0,0,0,0,15,0,21,0,0,0,10,0,0
Gil.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vn Alguazil.,0,87,0,0,0,0,0,4,12,0,4,9,46,0,0,0,0,0,0
Caramanchel.,646,74,0,0,0,224,15,44,6,0,0,0,0,0,0,0,66,2943,0
(unknown),193,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,42,0,0
Quintana.,16,1321,0,0,4,44,0,0,0,0,0,0,26,0,22,0,46,2214,0
Ossorio.,3,731,0,0,12,6,0,0,32,20,0,0,0,0,0,0,0,0,0
Don Pedro.,1103,792,0,0,0,0,0,0,20,0,0,0,11,0,0,0,22,214,0
Celio.,0,2,15,0,4,0,0,0,0,0,0,0,42,0,0,0,0,0,0
Fab.,0,30,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Don Diego.,0,163,21,0,46,0,0,26,0,11,42,0,0,0,0,0,0,20,0
Dec.,0,12,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
Mon Martin.,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Valdiviesso escudero.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0
Doña Clara.,207,0,10,0,0,66,42,46,0,22,0,0,0,0,0,0,0,604,0
Doña Iuana.,3118,784,0,0,0,2943,0,2214,0,214,0,0,20,0,0,54,604,328,0
Vn criado.,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
