,Fabio criado.,Crenudo.,Ric.,(unknown),Emb.,Sabina.,1.,Asc.,Camila.,Fr.,Ab,Iulio criado.,Sixto,Peroto viejo.,Cesaro.,Rodulfo cauallero.,Marco Antonio Pompeyo.,Vno.,Alexandro.,Decio criado.,Musicos.,2.
Fabio criado.,0,0,0,0,0,45,0,0,39,0,0,0,183,58,6,57,5,0,0,0,0,0
Crenudo.,0,0,0,0,0,0,0,0,10,0,0,0,90,0,0,0,0,0,0,0,0,0
Ric.,0,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0,0
(unknown),0,0,0,0,0,157,3,0,24,0,0,0,0,25,14,0,54,84,0,0,0,2
Emb.,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0
Sabina.,45,0,0,157,0,0,118,0,603,0,0,0,972,1132,1252,3,8,0,143,35,18,76
1.,0,0,0,3,0,118,0,0,50,0,0,0,31,29,31,0,0,0,8,0,0,283
Asc.,0,0,0,0,0,0,0,0,0,50,0,63,695,66,0,0,329,0,0,13,0,0
Camila.,39,10,0,24,0,603,50,0,164,0,2,4,579,380,342,0,627,0,0,0,0,28
Fr.,0,0,0,0,0,0,0,50,0,0,0,0,30,176,0,70,0,0,0,14,0,15
Ab,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,635,0,0,0,0,0,0
Iulio criado.,0,0,104,0,0,0,0,63,4,0,0,0,0,0,0,0,8,0,0,0,0,0
Sixto,183,90,3,0,25,972,31,695,579,30,0,0,176,1914,39,599,468,0,0,0,0,44
Peroto viejo.,58,0,0,25,9,1132,29,66,380,176,0,0,1914,136,447,104,188,0,933,289,0,31
Cesaro.,6,0,0,14,0,1252,31,0,342,0,0,0,39,447,0,0,12,0,0,1055,0,0
Rodulfo cauallero.,57,0,0,0,0,3,0,0,0,70,635,0,599,104,0,0,0,0,0,0,0,6
Marco Antonio Pompeyo.,5,0,0,54,0,8,0,329,627,0,0,8,468,188,12,0,128,0,59,0,0,2
Vno.,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
Alexandro.,0,0,0,0,0,143,8,0,0,0,0,0,0,933,0,0,59,0,0,0,0,0
Decio criado.,0,0,0,0,0,35,0,13,0,14,0,0,0,289,1055,0,0,0,0,0,0,0
Musicos.,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,3
2.,0,0,0,2,0,76,283,0,28,15,0,0,44,31,0,6,2,0,0,0,3,0
