num	id	name	numlines	numwords
1	te0048-09	Doña Maria.	1	5
2	te0048-04	Beatriz.	15	70
3	te0048-09	Doña Maria.	2	10
4	te0048-04	Beatriz.	5	26
5	te0048-09	Doña Maria.	2	6
6	te0048-04	Beatriz.	19	85
7	te0048-09	Doña Maria.	5	20
8	te0048-04	Beatriz.	10	46
9	te0048-09	Doña Maria.	28	134
10	te0048-04	Beatriz.	3	16
11	te0048-09	Doña Maria.	4	20
12	te0048-04	Beatriz.	17	72
13	te0048-93	(unknown)	3	10
14	te0048-04	Beatriz.	2	7
15	te0048-09	Doña Maria.	1	3
16	te0048-01	Don Iuan.	3	11
17	te0048-09	Doña Maria.	2	6
18	te0048-01	Don Iuan.	8	33
19	te0048-09	Doña Maria.	1	2
20	te0048-01	Don Iuan.	119	597
21	te0048-09	Doña Maria.	74	355
22	te0048-01	Don Iuan.	27	130
23	te0048-09	Doña Maria.	18	96
24	te0048-01	Don Iuan.	4	18
25	te0048-09	Doña Maria.	2	8
26	te0048-04	Beatriz.	4	16
27	te0048-09	Doña Maria.	5	25
28	te0048-04	Beatriz.	2	9
29	te0048-09	Doña Maria.	2	8
30	te0048-06	Don Diego.	9	38
31	te0048-09	Doña Maria.	20	86
32	te0048-00	Moron.	3	14
33	te0048-06	Don Diego.	4	17
34	te0048-04	Beatriz.	2	10
35	te0048-06	Don Diego.	1	5
36	te0048-04	Beatriz.	2	7
37	te0048-06	Don Diego.	5	25
38	te0048-04	Beatriz.	4	16
39	te0048-00	Moron.	11	49
40	te0048-06	Don Diego.	1	1
41	te0048-04	Beatriz.	3	14
42	te0048-06	Don Diego.	6	28
43	te0048-00	Moron.	2	7
44	te0048-04	Beatriz.	2	10
45	te0048-00	Moron.	6	26
46	te0048-04	Beatriz.	2	7
47	te0048-00	Moron.	6	26
48	te0048-04	Beatriz.	2	10
49	te0048-00	Moron.	4	19
50	te0048-04	Beatriz.	5	24
51	te0048-00	Moron.	5	28
52	te0048-04	Beatriz.	3	17
53	te0048-00	Moron.	2	8
54	te0048-04	Beatriz.	2	6
55	te0048-00	Moron.	2	11
56	te0048-04	Beatriz.	1	1
57	te0048-00	Moron.	1	5
58	te0048-01	Don Iuan.	6	43
59	te0048-07	Don Carlos.	1	4
60	te0048-01	Don Iuan.	6	33
61	te0048-07	Don Carlos.	7	41
62	te0048-01	Don Iuan.	7	45
63	te0048-07	Don Carlos.	1	4
64	te0048-01	Don Iuan.	1	4
65	te0048-07	Don Carlos.	2	4
66	te0048-01	Don Iuan.	1	2
67	te0048-07	Don Carlos.	17	99
68	te0048-10	Violante.	4	18
69	te0048-07	Don Carlos.	2	5
70	te0048-10	Violante.	2	9
71	te0048-07	Don Carlos.	14	72
72	te0048-10	Violante.	13	63
73	te0048-07	Don Carlos.	16	84
74	te0048-10	Violante.	2	12
75	te0048-07	Don Carlos.	7	36
76	te0048-10	Violante.	1	4
77	te0048-05	Quiteria.	10	52
78	te0048-10	Violante.	5	31
79	te0048-04	Beatriz.	2	12
80	te0048-01	Don Iuan.	9	44
81	te0048-04	Beatriz.	2	6
82	te0048-01	Don Iuan.	4	20
83	te0048-04	Beatriz.	12	55
84	te0048-00	Moron.	1	4
85	te0048-06	Don Diego.	4	16
86	te0048-00	Moron.	6	28
87	te0048-06	Don Diego.	1	5
88	te0048-00	Moron.	2	10
89	te0048-06	Don Diego.	4	20
90	te0048-00	Moron.	2	5
91	te0048-04	Beatriz.	2	6
92	te0048-00	Moron.	5	24
93	te0048-04	Beatriz.	2	7
94	te0048-00	Moron.	3	13
95	te0048-04	Beatriz.	3	13
96	te0048-00	Moron.	7	30
97	te0048-04	Beatriz.	3	12
98	te0048-00	Moron.	2	10
99	te0048-04	Beatriz.	2	10
100	te0048-00	Moron.	1	5
101	te0048-04	Beatriz.	32	157
102	te0048-00	Moron.	16	70
103	te0048-04	Beatriz.	3	11
104	te0048-00	Moron.	8	43
105	te0048-06	Don Diego.	6	30
106	te0048-00	Moron.	3	15
107	te0048-06	Don Diego.	2	8
108	te0048-00	Moron.	25	132
109	te0048-06	Don Diego.	19	81
110	te0048-00	Moron.	1	4
111	te0048-06	Don Diego.	3	12
112	te0048-00	Moron.	1	4
113	te0048-06	Don Diego.	13	61
114	te0048-00	Moron.	1	4
115	te0048-02	Don Antonio.	1	5
116	te0048-06	Don Diego.	1	3
117	te0048-02	Don Antonio.	2	8
118	te0048-06	Don Diego.	1	4
119	te0048-02	Don Antonio.	4	15
120	te0048-06	Don Diego.	1	2
121	te0048-02	Don Antonio.	1	3
122	te0048-06	Don Diego.	2	5
123	te0048-02	Don Antonio.	1	3
124	te0048-06	Don Diego.	3	10
125	te0048-02	Don Antonio.	4	23
126	te0048-06	Don Diego.	2	10
127	te0048-02	Don Antonio.	1	5
128	te0048-06	Don Diego.	11	55
129	te0048-02	Don Antonio.	4	18
130	te0048-06	Don Diego.	2	6
131	te0048-02	Don Antonio.	2	9
132	te0048-07	Don Carlos.	1	2
133	te0048-02	Don Antonio.	10	52
134	te0048-07	Don Carlos.	11	57
135	te0048-02	Don Antonio.	1	3
136	te0048-07	Don Carlos.	1	3
137	te0048-02	Don Antonio.	3	13
138	te0048-00	Moron.	2	7
139	te0048-06	Don Diego.	4	20
140	te0048-00	Moron.	1	4
141	te0048-06	Don Diego.	1	3
142	te0048-00	Moron.	3	12
143	te0048-06	Don Diego.	3	11
144	te0048-09	Doña Maria.	3	10
145	te0048-06	Don Diego.	14	60
146	te0048-09	Doña Maria.	5	21
147	te0048-06	Don Diego.	2	6
148	te0048-09	Doña Maria.	4	18
149	te0048-00	Moron.	3	15
150	te0048-09	Doña Maria.	6	30
151	te0048-00	Moron.	2	13
152	te0048-09	Doña Maria.	6	29
153	te0048-06	Don Diego.	2	9
154	te0048-09	Doña Maria.	3	13
155	te0048-06	Don Diego.	3	13
156	te0048-09	Doña Maria.	2	9
157	te0048-06	Don Diego.	15	78
158	te0048-00	Moron.	2	10
159	te0048-06	Don Diego.	18	92
160	te0048-09	Doña Maria.	1	6
161	te0048-00	Moron.	1	4
162	te0048-06	Don Diego.	1	2
163	te0048-09	Doña Maria.	4	26
164	te0048-04	Beatriz.	2	9
165	te0048-09	Doña Maria.	2	8
166	te0048-11	Esc.	2	8
167	te0048-00	Moron.	1	4
168	te0048-06	Don Diego.	3	9
169	te0048-00	Moron.	1	5
170	te0048-09	Doña Maria.	2	11
171	te0048-00	Moron.	2	9
172	te0048-06	Don Diego.	3	11
173	te0048-00	Moron.	4	14
174	te0048-04	Beatriz.	2	2
175	te0048-09	Doña Maria.	1	3
176	te0048-04	Beatriz.	1	1
177	te0048-00	Moron.	13	62
178	te0048-06	Don Diego.	2	6
179	te0048-00	Moron.	10	46
180	te0048-06	Don Diego.	1	5
181	te0048-00	Moron.	5	26
182	te0048-06	Don Diego.	1	4
183	te0048-00	Moron.	10	55
184	te0048-06	Don Diego.	123	556
185	te0048-00	Moron.	1	4
186	te0048-04	Beatriz.	4	14
187	te0048-09	Doña Maria.	1	6
188	te0048-04	Beatriz.	2	11
189	te0048-11	Esc.	2	12
190	te0048-06	Don Diego.	1	3
191	te0048-00	Moron.	3	12
192	te0048-09	Doña Maria.	15	74
193	te0048-06	Don Diego.	3	13
194	te0048-09	Doña Maria.	2	5
195	te0048-00	Moron.	2	8
196	te0048-04	Beatriz.	2	10
197	te0048-09	Doña Maria.	1	5
198	te0048-04	Beatriz.	2	9
199	te0048-08	Leonardo.	3	16
200	te0048-09	Doña Maria.	1	5
201	te0048-06	Don Diego.	1	1
202	te0048-09	Doña Maria.	2	7
203	te0048-08	Leonardo.	2	6
204	te0048-09	Doña Maria.	16	74
205	te0048-06	Don Diego.	4	15
206	te0048-08	Leonardo.	17	71
207	te0048-00	Moron.	3	16
208	te0048-06	Don Diego.	4	19
209	te0048-08	Leonardo.	2	11
210	te0048-06	Don Diego.	2	11
211	te0048-08	Leonardo.	5	24
212	te0048-06	Don Diego.	1	6
213	te0048-08	Leonardo.	2	5
214	te0048-06	Don Diego.	4	16
215	te0048-00	Moron.	5	17
216	te0048-06	Don Diego.	3	13
217	te0048-00	Moron.	7	29
