num	id	name	numlines	numwords
1	te0054-03	Salomon.	4	15
2	te0054-04	Adonias.	4	23
3	te0054-02	Absalon.	4	21
4	te0054-07	Tamar.	4	23
5	te0054-00	El Rey Dauid.	28	146
6	te0054-01	Ioab.	1	4
7	te0054-09	Aquitofel.	3	18
8	te0054-00	El Rey Dauid.	16	90
9	te0054-04	Adonias.	1	5
10	te0054-00	El Rey Dauid.	3	17
11	te0054-03	Salomon.	2	12
12	te0054-02	Absalon.	1	5
13	te0054-00	El Rey Dauid.	2	12
14	te0054-07	Tamar.	3	17
15	te0054-00	El Rey Dauid.	1	7
16	te0054-09	Aquitofel.	23	138
17	te0054-00	El Rey Dauid.	24	135
18	te0054-02	Absalon.	2	16
19	te0054-00	El Rey Dauid.	1	3
20	te0054-01	Ioab.	5	24
21	te0054-07	Tamar.	3	16
22	te0054-00	El Rey Dauid.	1	1
23	te0054-05	Amon.	1	3
24	te0054-00	El Rey Dauid.	1	1
25	te0054-05	Amon.	1	4
26	te0054-00	El Rey Dauid.	55	264
27	te0054-04	Adonias.	1	1
28	te0054-02	Absalon.	1	1
29	te0054-03	Salomon.	1	1
30	te0054-07	Tamar.	1	1
31	te0054-05	Amon.	1	4
32	te0054-07	Tamar.	1	2
33	te0054-03	Salomon.	1	2
34	te0054-02	Absalon.	2	3
35	te0054-04	Adonias.	1	4
36	te0054-00	El Rey Dauid.	1	2
37	te0054-99	(unknown)	1	2
38	te0054-05	Amon.	1	5
39	te0054-00	El Rey Dauid.	10	49
40	te0054-01	Ioab.	1	3
41	te0054-09	Aquitofel.	1	4
42	te0054-04	Adonias.	1	4
43	te0054-03	Salomon.	1	4
44	te0054-07	Tamar.	2	8
45	te0054-02	Absalon.	1	2
46	te0054-04	Adonias.	1	3
47	te0054-02	Absalon.	5	29
48	te0054-07	Tamar.	4	22
49	te0054-05	Amon.	1	3
50	te0054-06	Ionadab.	8	41
51	te0054-05	Amon.	1	6
52	te0054-06	Ionadab.	2	8
53	te0054-05	Amon.	5	20
54	te0054-06	Ionadab.	11	52
55	te0054-05	Amon.	33	164
56	te0054-06	Ionadab.	3	14
57	te0054-04	Adonias.	1	6
58	te0054-01	Ioab.	1	7
59	te0054-05	Amon.	1	6
60	te0054-06	Ionadab.	4	18
61	te0054-05	Amon.	19	101
62	te0054-06	Ionadab.	2	8
63	te0054-05	Amon.	1	2
64	te0054-01	Ioab.	1	6
65	te0054-05	Amon.	1	7
66	te0054-06	Ionadab.	2	11
67	te0054-05	Amon.	1	2
68	te0054-06	Ionadab.	5	24
69	te0054-05	Amon.	11	61
70	te0054-07	Tamar.	29	146
71	te0054-05	Amon.	20	106
72	te0054-07	Tamar.	10	51
73	te0054-05	Amon.	14	75
74	te0054-07	Tamar.	4	19
75	te0054-05	Amon.	3	14
76	te0054-07	Tamar.	4	18
77	te0054-05	Amon.	4	24
78	te0054-07	Tamar.	1	2
79	te0054-05	Amon.	12	60
80	te0054-07	Tamar.	11	50
81	te0054-05	Amon.	1	2
82	te0054-07	Tamar.	1	2
83	te0054-05	Amon.	1	4
84	te0054-07	Tamar.	1	3
85	te0054-05	Amon.	1	2
86	te0054-07	Tamar.	1	3
87	te0054-05	Amon.	1	2
88	te0054-07	Tamar.	1	1
89	te0054-05	Amon.	1	4
90	te0054-07	Tamar.	1	1
91	te0054-05	Amon.	1	2
92	te0054-07	Tamar.	1	2
93	te0054-05	Amon.	1	3
94	te0054-07	Tamar.	1	5
95	te0054-05	Amon.	1	1
96	te0054-07	Tamar.	1	5
97	te0054-05	Amon.	15	80
98	te0054-07	Tamar.	4	22
99	te0054-05	Amon.	16	81
100	te0054-07	Tamar.	4	19
101	te0054-05	Amon.	4	21
102	te0054-07	Tamar.	2	12
103	te0054-05	Amon.	17	80
104	te0054-07	Tamar.	3	13
105	te0054-05	Amon.	7	30
106	te0054-07	Tamar.	10	46
107	te0054-05	Amon.	1	3
108	te0054-07	Tamar.	3	10
109	te0054-05	Amon.	7	32
110	te0054-07	Tamar.	20	100
111	te0054-05	Amon.	5	26
112	te0054-98	(unknown)	6	28
113	te0054-05	Amon.	2	10
114	te0054-06	Ionadab.	2	12
115	te0054-05	Amon.	1	5
116	te0054-06	Ionadab.	5	25
117	te0054-05	Amon.	1	5
118	te0054-06	Ionadab.	3	14
119	te0054-05	Amon.	3	15
120	te0054-06	Ionadab.	4	14
121	te0054-05	Amon.	3	11
122	te0054-06	Ionadab.	2	6
123	te0054-05	Amon.	4	19
124	te0054-00	El Rey Dauid.	5	20
125	te0054-05	Amon.	2	6
126	te0054-00	El Rey Dauid.	3	14
127	te0054-05	Amon.	3	8
128	te0054-00	El Rey Dauid.	3	10
129	te0054-06	Ionadab.	2	5
130	te0054-05	Amon.	8	29
131	te0054-00	El Rey Dauid.	3	16
132	te0054-05	Amon.	1	6
133	te0054-00	El Rey Dauid.	1	2
134	te0054-05	Amon.	1	3
135	te0054-00	El Rey Dauid.	2	11
136	te0054-05	Amon.	1	4
137	te0054-00	El Rey Dauid.	2	3
138	te0054-06	Ionadab.	2	8
139	te0054-05	Amon.	7	34
140	te0054-00	El Rey Dauid.	8	34
141	te0054-06	Ionadab.	4	18
142	te0054-05	Amon.	4	16
143	te0054-00	El Rey Dauid.	2	8
144	te0054-05	Amon.	1	4
145	te0054-00	El Rey Dauid.	4	19
146	te0054-05	Amon.	13	56
147	te0054-06	Ionadab.	4	21
148	te0054-00	El Rey Dauid.	6	31
149	te0054-05	Amon.	4	15
150	te0054-06	Ionadab.	2	6
151	te0054-05	Amon.	6	27
152	te0054-00	El Rey Dauid.	4	19
153	te0054-03	Salomon.	1	3
154	te0054-00	El Rey Dauid.	1	6
155	te0054-02	Absalon.	2	10
156	te0054-01	Ioab.	2	8
157	te0054-00	El Rey Dauid.	1	2
158	te0054-09	Aquitofel.	2	7
159	te0054-11	Semey.	2	7
160	te0054-00	El Rey Dauid.	3	9
161	te0054-11	Semey.	17	75
162	te0054-00	El Rey Dauid.	28	130
163	te0054-08	Teuia.	10	51
164	te0054-02	Absalon.	2	8
165	te0054-03	Salomon.	1	3
166	te0054-09	Aquitofel.	2	9
167	te0054-11	Semey.	1	1
168	te0054-08	Teuia.	2	7
169	te0054-01	Ioab.	1	1
170	te0054-08	Teuia.	8	32
171	te0054-09	Aquitofel.	2	4
172	te0054-08	Teuia.	5	18
173	te0054-03	Salomon.	1	1
174	te0054-08	Teuia.	4	23
175	te0054-02	Absalon.	2	6
176	te0054-08	Teuia.	5	24
177	te0054-03	Salomon.	2	8
178	te0054-11	Semey.	3	9
179	te0054-03	Salomon.	1	4
180	te0054-02	Absalon.	3	17
181	te0054-03	Salomon.	1	4
182	te0054-02	Absalon.	3	14
183	te0054-03	Salomon.	1	4
184	te0054-02	Absalon.	28	143
